"","scientific_name","RCS_WS","area.sqkm"
"1","Lithobates capito",0.89066242055294,541.971387555632
"2","Pseudacris brimleyi",0.885824030134482,358.190100514639
"3","Pseudacris ornata",0.857890846931279,750.65958768216
"4","Lithobates grylio",0.839305830290788,1682.78955375333
"5","Pseudacris fouquettei",0.818158040772776,1073.56005217864
"6","Pseudacris ocularis",0.796313714075693,1305.98551377839
"7","Pseudacris brachyphona",0.79195725202992,731.634602734809
"8","Anaxyrus quercicus",0.758531268722319,2361.8354421606
"9","Lithobates areolatus",0.723715913988831,452.712451092617
"10","Scaphiopus holbrookii",0.666219730470335,3879.82498805603
"11","Anaxyrus punctatus",0.654139081798697,5162.01786090647
"12","Pseudacris triseriata",0.595003406518314,3654.58022380815
"13","Pseudacris nigrita",0.563749920718244,1471.34074703262
"14","Pseudacris regilla",0.465092890031505,10647.6137913584
"15","Anaxyrus woodhousii",0.459835536439593,11612.7001041955
"16","Lithobates catesbeianus",0.14347182516938,30761.9668001391
